Facility_Type,Year,Pass_Rate,Risk_One_Rate,Risk_Two_Rate,Risk_Three_Rate
Bar,2010,0.517948717948718,0.041025641025641026,0.041025641025641026,0.9179487179487179
Bar,2011,0.5944055944055944,0,0.03496503496503497,0.965034965034965
Bar,2012,0.5132743362831859,0.02654867256637168,0.035398230088495575,0.9380530973451328
Bar,2013,0.5416666666666666,0.025,0.041666666666666664,0.9333333333333333
Bar,2014,0.5114503816793893,0.007633587786259542,0.04580152671755725,0.9465648854961832
Bar,2015,0.5842696629213483,0.011235955056179775,0.02247191011235955,0.9662921348314607
Bar,2016,0.509090909090909,0,0.09090909090909091,0.9090909090909091
Bar,2017,0.5086206896551724,0,0.11206896551724138,0.8879310344827587
Bar,2018,0.5308641975308642,0,0.037037037037037035,0.9629629629629629
Bar,2019,0.46296296296296297,0,0.05555555555555555,0.9444444444444444
Bar,2020,0.5,0.014285714285714285,0.18571428571428572,0.8
Bar,2021,0.5882352941176471,0,0.0784313725490196,0.9215686274509803
Bar,2022,0.5154639175257731,0.020618556701030927,0.1134020618556701,0.865979381443299
Bar,2023,0.5443037974683544,0.0379746835443038,0.02531645569620253,0.9367088607594937
Bar,2024,0.5,0,0.037037037037037035,0.9629629629629629
Daycare,2010,0.7164705882352941,0.9905882352941177,0.007058823529411765,0.002352941176470588
Daycare,2011,0.7503105590062111,0.9937888198757764,0.0037267080745341614,0.002484472049689441
Daycare,2012,0.6886912325285895,0.9923761118170267,0.005082592121982211,0.0025412960609911056
Daycare,2013,0.6483516483516484,0.9956043956043956,0.002197802197802198,0.002197802197802198
Daycare,2014,0.6675531914893617,0.9920212765957447,0.0026595744680851063,0.005319148936170213
Daycare,2015,0.6796267496111975,0.9906687402799378,0.003110419906687403,0.006220839813374806
Daycare,2016,0.7213403880070547,0.9894179894179894,0.003527336860670194,0.007054673721340388
Daycare,2017,0.717391304347826,0.9945652173913043,0.0018115942028985507,0.0036231884057971015
Daycare,2018,0.7433264887063655,0.9958932238193019,0.004106776180698152,0
Daycare,2019,0.7151394422310757,0.99800796812749,0.00199203187250996,0
Daycare,2020,0.7522658610271903,1,0,0
Daycare,2021,0.7065462753950339,0.9977426636568849,0.002257336343115124,0
Daycare,2022,0.6691358024691358,0.9950617283950617,0.0049382716049382715,0
Daycare,2023,0.6273408239700374,0.99812734082397,0.0018726591760299626,0
Daycare,2024,0.7181818181818181,1,0,0
Restaurant,2010,0.7470867903421273,0.7480190174326465,0.23361610888412418,0.018364873683229234
Restaurant,2011,0.7410833407453526,0.75406919861247,0.23374544160811173,0.012185359779418304
Restaurant,2012,0.7041718225207707,0.7842496022626834,0.20434859466148136,0.011401803075835248
Restaurant,2013,0.6860381690342947,0.7824652030420434,0.206701104893098,0.01076194575979337
Restaurant,2014,0.7197236431276157,0.8123297681525278,0.17916694346641865,0.008436856440576629
Restaurant,2015,0.6867369008581595,0.8003209376962255,0.19102769831856556,0.008651363985208958
Restaurant,2016,0.6869285890783297,0.8136273783049173,0.17766246602421548,0.008710155670867309
Restaurant,2017,0.6658415841584159,0.8295336112558624,0.15997915581031788,0.010422094841063054
Restaurant,2018,0.6768333896586685,0.845724907063197,0.14734707671510647,0.0068435282189929034
Restaurant,2019,0.6518326545723806,0.8400592373195113,0.14927804516845614,0.010440577563865235
Restaurant,2020,0.6477012689827335,0.7853130850842521,0.2015810276679842,0.013105887247763678
Restaurant,2021,0.6201152530163876,0.84071672969566,0.149738879884747,0.009544390419593013
Restaurant,2022,0.6230021141649048,0.8319661733615222,0.15932346723044397,0.008372093023255815
Restaurant,2023,0.6266898569056842,0.8628350067198988,0.12419954146572852,0.012807336548343743
Restaurant,2024,0.6549807610089782,0.880718255664814,0.08921191392332906,0.03006983041185692
School,2010,0.8571428571428571,0.9374079528718704,0.04639175257731959,0.016200294550810016
School,2011,0.8107344632768362,0.9244350282485876,0.05861581920903955,0.01694915254237288
School,2012,0.7708333333333334,0.9191666666666667,0.06166666666666667,0.019166666666666665
School,2013,0.7766990291262136,0.9110032362459547,0.06715210355987054,0.021844660194174758
School,2014,0.7606209150326797,0.9011437908496732,0.06862745098039216,0.03022875816993464
School,2015,0.7805084745762711,0.8940677966101694,0.07457627118644068,0.03135593220338983
School,2016,0.7317269076305221,0.9036144578313253,0.06987951807228916,0.02650602409638554
School,2017,0.7477178423236515,0.9062240663900415,0.07053941908713693,0.023236514522821577
School,2018,0.7078288942695722,0.9192897497982244,0.05811138014527845,0.022598870056497175
School,2019,0.7421602787456446,0.9198606271777003,0.05400696864111498,0.02613240418118467
School,2020,0.7279489904357067,0.9415515409139213,0.048884165781083955,0.009564293304994687
School,2021,0.7477718360071302,0.9090909090909091,0.07308377896613191,0.017825311942959002
School,2022,0.6945147679324895,0.920675105485232,0.05822784810126582,0.02109704641350211
School,2023,0.6935355147645651,0.9265762170790104,0.05905826017557861,0.014365522745411013
School,2024,0.6791907514450867,0.9797687861271677,0.014450867052023121,0.005780346820809248
